%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1662323733656159205,0,1662323733650760651,t265_odom_frame,t265_pose_frame,-0.867807924747467,-1.5410163402557373,0.5172199606895447,0.05922303348779678,-0.04416102543473244,-0.9952257871627808,0.0637817457318306
1662323733661198224,0,1662323733655759573,t265_odom_frame,t265_pose_frame,-0.8702899813652039,-1.5400269031524658,0.5172232985496521,0.06004283204674721,-0.04449897259473801,-0.9953295588493347,0.061104562133550644
1662323733667084965,0,1662323733660758495,t265_odom_frame,t265_pose_frame,-0.8727494478225708,-1.539072036743164,0.5171952247619629,0.060824260115623474,-0.04483042657375336,-0.9954292178153992,0.05840738117694855
1662323733671510819,0,1662323733665758610,t265_odom_frame,t265_pose_frame,-0.8751949667930603,-1.5380983352661133,0.5171803832054138,0.06162411347031593,-0.04516782611608505,-0.9955217242240906,0.05566705763339996
1662323733676232953,0,1662323733670757532,t265_odom_frame,t265_pose_frame,-0.8776317834854126,-1.537096381187439,0.5171800851821899,0.06233982741832733,-0.04553937539458275,-0.9956119060516357,0.05288506671786308
1662323733681342648,0,1662323733675756693,t265_odom_frame,t265_pose_frame,-0.8832314610481262,-1.537109375,0.5151192545890808,0.06314602494239807,-0.046015385538339615,-0.9956977367401123,0.04981144145131111
1662323733686030887,0,1662323733680755615,t265_odom_frame,t265_pose_frame,-0.8857260346412659,-1.536115288734436,0.5150859355926514,0.06366726756095886,-0.04644206166267395,-0.9957855343818665,0.04691355302929878
1662323733691531341,0,1662323733685755730,t265_odom_frame,t265_pose_frame,-0.8882078528404236,-1.5350991487503052,0.515068531036377,0.06417545676231384,-0.0468851774930954,-0.9958665370941162,0.04396660625934601
1662323733696363159,0,1662323733690754652,t265_odom_frame,t265_pose_frame,-0.890672504901886,-1.534053087234497,0.5150399208068848,0.06463818997144699,-0.04735763743519783,-0.9959428310394287,0.04095349460840225
1662323733701691530,0,1662323733695753336,t265_odom_frame,t265_pose_frame,-0.8931267857551575,-1.5329887866973877,0.5150390267372131,0.0650046169757843,-0.047846343368291855,-0.9960167407989502,0.03789278492331505
1662323733706469739,0,1662323733700752735,t265_odom_frame,t265_pose_frame,-0.8955684304237366,-1.5319013595581055,0.515051007270813,0.06527449935674667,-0.04834377020597458,-0.9960885643959045,0.03478141501545906
1662323733711348165,0,1662323733705751419,t265_odom_frame,t265_pose_frame,-0.8979928493499756,-1.5308068990707397,0.5150815844535828,0.06553251296281815,-0.04883556440472603,-0.9961524605751038,0.03163650631904602
1662323733716391184,0,1662323733710751534,t265_odom_frame,t265_pose_frame,-0.902687132358551,-1.5297856330871582,0.5128369331359863,0.06611952185630798,-0.04928276315331459,-0.9961866736412048,0.028487199917435646
1662323733721337412,0,1662323733715750694,t265_odom_frame,t265_pose_frame,-0.9051490426063538,-1.5286877155303955,0.5128195881843567,0.06631947308778763,-0.04977060854434967,-0.9962348341941833,0.02531370520591736
1662323733726090981,0,1662323733720749617,t265_odom_frame,t265_pose_frame,-0.9075677990913391,-1.5275959968566895,0.5128098130226135,0.06646154075860977,-0.05025449022650719,-0.9962772130966187,0.02211454138159752
1662323733727797512,0,1662323733827535874,/t265_link,/d400_link,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1662323733731418033,0,1662323733725749493,t265_odom_frame,t265_pose_frame,-0.9099835157394409,-1.5264759063720703,0.5128161311149597,0.06657959520816803,-0.0507129468023777,-0.9963118433952332,0.0189241673797369
1662323733736527305,0,1662323733730748892,t265_odom_frame,t265_pose_frame,-0.9123772382736206,-1.5253416299819946,0.5128347873687744,0.0667196735739708,-0.05116003751754761,-0.9963347911834717,0.015750758349895477
1662323733741160406,0,1662323733735747576,t265_odom_frame,t265_pose_frame,-0.9147465229034424,-1.5241937637329102,0.5128568410873413,0.06685395538806915,-0.051589205861091614,-0.9963487386703491,0.012584436684846878
1662323733746264616,0,1662323733740746498,t265_odom_frame,t265_pose_frame,-0.9198375940322876,-1.5225661993026733,0.5129780173301697,0.06732622534036636,-0.052036628127098083,-0.9963269829750061,0.009586193598806858
1662323733751096248,0,1662323733745745659,t265_odom_frame,t265_pose_frame,-0.9222687482833862,-1.521389126777649,0.5130576491355896,0.06742773205041885,-0.052436765283346176,-0.9963244795799255,0.006437013391405344
1662323733756350616,0,1662323733750745535,t265_odom_frame,t265_pose_frame,-0.9246684312820435,-1.5202057361602783,0.513147234916687,0.06755143404006958,-0.05281786993145943,-0.9963113069534302,0.00330355204641819
1662323733761392575,0,1662323733755744696,t265_odom_frame,t265_pose_frame,-0.9270451068878174,-1.5190050601959229,0.5132471919059753,0.06772731244564056,-0.05318545922636986,-0.9962852001190186,0.00017011124873533845
1662323733766586748,0,1662323733760743618,t265_odom_frame,t265_pose_frame,-0.9293956160545349,-1.5177916288375854,0.5133587718009949,0.06790170818567276,-0.05354948714375496,-0.9962496757507324,-0.002909251255914569
1662323733771458652,0,1662323733765742779,t265_odom_frame,t265_pose_frame,-0.9316976070404053,-1.5165624618530273,0.5134891271591187,0.06805845350027084,-0.05389679595828056,-0.9962064027786255,-0.005996867083013058
1662323733776236267,0,1662323733770742416,t265_odom_frame,t265_pose_frame,-0.933983325958252,-1.5153214931488037,0.5136263966560364,0.06823236495256424,-0.05425192043185234,-0.9961523413658142,-0.009034908376634121
1662323733781259708,0,1662323733775741816,t265_odom_frame,t265_pose_frame,-0.9384154081344604,-1.5125030279159546,0.5134187936782837,0.0685921460390091,-0.05480943247675896,-0.996065616607666,-0.012019980698823929
1662323733786071150,0,1662323733780740738,t265_odom_frame,t265_pose_frame,-0.9407148361206055,-1.511178731918335,0.5135870575904846,0.06882108747959137,-0.05518833547830582,-0.9959885478019714,-0.014989900402724743
1662323733791148747,0,1662323733785739422,t265_odom_frame,t265_pose_frame,-0.9429999589920044,-1.5098501443862915,0.5137670040130615,0.06900309026241302,-0.0555880106985569,-0.995905339717865,-0.017921796068549156
1662323733796372084,0,1662323733790738821,t265_odom_frame,t265_pose_frame,-0.9452539086341858,-1.508502721786499,0.5139560103416443,0.06919645518064499,-0.05601293966174126,-0.9958112835884094,-0.020841041579842567
1662323733801694328,0,1662323733795738459,t265_odom_frame,t265_pose_frame,-0.9474757313728333,-1.5071358680725098,0.5141546726226807,0.06939834356307983,-0.056465260684490204,-0.9957072138786316,-0.02372123673558235
1662323733806232428,0,1662323733800737619,t265_odom_frame,t265_pose_frame,-0.9496281147003174,-1.5057241916656494,0.5143576860427856,0.06960826367139816,-0.05694644898176193,-0.9955931305885315,-0.02657294273376465
1662323733811266429,0,1662323733805736780,t265_odom_frame,t265_pose_frame,-0.9517661333084106,-1.5043020248413086,0.5145703554153442,0.0697680190205574,-0.057476405054330826,-0.9954718351364136,-0.02940625324845314
1662323733815989182,0,1662323733810735703,t265_odom_frame,t265_pose_frame,-0.9565182328224182,-1.5034615993499756,0.5143837928771973,0.06998522579669952,-0.0580785907804966,-0.9953308701515198,-0.03233276307582855
1662323733821489169,0,1662323733815735579,t265_odom_frame,t265_pose_frame,-0.9585765600204468,-1.5019865036010742,0.5146232843399048,0.07008539885282516,-0.058680132031440735,-0.9951919317245483,-0.03518113121390343
1662323733826286912,0,1662323733820734262,t265_odom_frame,t265_pose_frame,-0.9606177806854248,-1.500498652458191,0.5148754715919495,0.07015510648488998,-0.05932305008172989,-0.9950432181358337,-0.03805268555879593
1662323733827973160,0,1662323733927650339,/t265_link,/d400_link,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1662323733831211389,0,1662323733825733662,t265_odom_frame,t265_pose_frame,-0.9626116156578064,-1.4989820718765259,0.5151363015174866,0.07018010318279266,-0.06002890691161156,-0.9948845505714417,-0.04093968868255615
1662323733836607792,0,1662323733830732584,t265_odom_frame,t265_pose_frame,-0.964527428150177,-1.4974162578582764,0.5153911709785461,0.07014653086662292,-0.06078411638736725,-0.9947172403335571,-0.04384541139006615
1662323733842568168,0,1662323733835731506,t265_odom_frame,t265_pose_frame,-0.9664002656936646,-1.495824933052063,0.5156552195549011,0.07006797194480896,-0.06160440295934677,-0.9945388436317444,-0.04677620902657509
1662323733846413526,0,1662323733840731621,t265_odom_frame,t265_pose_frame,-0.9686896800994873,-1.4948209524154663,0.5150328278541565,0.07006451487541199,-0.06234096735715866,-0.994350016117096,-0.049725987017154694
